,Activity_Regex,Age_Regex,Sex_Regex,Species_Regex,Fatal_Regex
0,paddling,57,f,White shark,n
6,swimming,18,m,Tiger shark,y
7,fishing,52,m,"lemon shark, 3'",n
8,walking,15,m,Bull shark,n
10,feeding sharks,32,m,grey reef shark,n
13,fishing,21,m,invalid incident,n
14,feeding sharks,34,f,Nurse shark,n
18,scuba diving,30,m,Tiger shark,n
21,surfing,60,m,3 m shark,n
23,fishing,32,m,Tiger shark,n
24,paddle-skiing,33,m,White shark,n
25,body boarding,29,m,6' shark,n
26,swimming,54,m,Bull shark,n
31,fishing,56,m,Not a shark,n
33,swimming,12,m,Bull shark,n
34,surfing,19,m,White shark,n
35,stand-up paddleboarding,25,m,Tiger shark,n
36,wading,10,m,Wobbegong shark,n
37,swimming,69,m,3.5 m shark,n
38,surfing,18,m,1.8 m shark,n
39,scuba diving,38,m,Blacktip shark,n
40,swimming,55,f,White shark,n
42,walking,35,m,Bull shark,n
44,cleaning fish,46,f,"injury believed caused by an eel, not a shark",n
45,snorkeling,45,m,galapagos shark?,n
46,spearfishing,14,m,2m shark,n
48,spearfishing,40,m,Bull shark,n
50,free diving,28,m,White shark,n
51,surfing,20,m,small shark,n
53,surfing,54,f,Tiger shark,n
55,fishing,24,m,Nurse shark,n
56,snorkeling,25,f,Nurse shark,n
57,scuba diving,26,m,Tiger shark,n
58,scuba diving,49,f,Tiger shark,y
60,spearfishing,25,m,White shark,n
63,surfing,25,m,2 m shark,n
64,bathing,22,m,Tiger shark,y
65,snorkeling,7,m,cookiecutter shark,n
66,surfing,31,m,Wobbegong shark,n
71,fishing,15,f,White shark,n
74,surfing,54,m,Tiger shark,n
75,snorkeling,40,f,8' shark,n
82,surfing,13,m,"porbeagle, 1.5 m",n
87,surfing,18,m,5' to 6' shark,n
89,surfing,35,m,White shark,n
96,surfing,37,m,White shark,n
100,sup,69,m,White shark,n
102,swimming,13,m,Blacktip shark,n
103,snorkeling,20,f,"oceanic whitetip shark, 1.8 to 2 m",n
104,fishing,34,m,4' shark,n
116,kayaking,40,m,White shark,n
117,sup,50,m,White shark,n
121,swimming,46,m,Bull shark,n
122,fishing,32,m,Tiger shark,n
123,surfing,13,f,White shark,n
128,swimming,14,f,Bull shark,n
129,body boarding,34,m,Bull shark,n
133,body boarding,48,m,White shark,n
136,surfing,30,m,"3m shark, probably a smooth hound",n
138,snorkeling,32,f,Tiger shark,n
139,touching a shark,20,f,3' shark,n
143,attempting to lasso a shark,29,m,9' shark,n
155,surfing,17,f,White shark,y
156,surfing,28,m,Tiger shark,n
166,swimming,17,f,Bull shark,n
170,spearfishing,25,m,10' shark,n
171,washing hands,58,m,lemon shark,n
180,scuba diving,37,m,caribbean reef shark,n
183,scuba diving,55,m,Bull shark,n
186,surfing,48,m,Bull shark,n
192,surf skiing ,55,m,White shark,n
196,fishing,20,m,Wobbegong shark,n
197,surfing,65,m,White shark,n
198,fishing,73,m,"broadnose sevengill shark, 1.5 m",n
199,floating,58,f,Tiger shark,n
203,surfing,36,m, 6' to 8' shark,n
211,surfing,17,m,White shark,n
219,wading,60,m,3' to 4' shark,n
220,swimming,51,f,Tiger shark,n
225,spearfishing,22,m,White shark,n
227,surfing,25,m,Bull shark,n
229,surfing,20,m,Bull shark,n
232,sup foil boarding,21,m,Tiger shark,n
233,surfing,22,m,Blacktip shark,n
234,swimming,40,m,Blue shark,n
