,Year,Age,Sex,Activity,Species,Country,Fatal_Y_N,Activity_Regex,Sex_Regex,age_regex,Species_regex
0,2018.0,57,F,Paddling,White shark,USA,N,paddling,f,57,White shark
1,2018.0,11,F,Standing,,USA,N,standing,f,11,
2,2018.0,48,M,Surfing,,USA,N,surfing,m,48,
6,2018.0,18,M,Swimming,Tiger shark,BRAZIL,Y,swimming,m,18,Tiger shark
7,2018.0,52,M,Fishing,"Lemon shark, 3'",USA,N,fishing,m,52,"lemon shark, 3'"
8,2018.0,15,M,Walking,"Bull shark, 6'",USA,N,walking,m,15,Bull shark
9,2018.0,12,M,Standing,,USA,N,standing,m,12,
10,2018.0,32,M,Feeding sharks,Grey reef shark,AUSTRALIA,N,feeding sharks,m,32,grey reef shark
11,2018.0,10,M,Boogie boarding,,USA,N,boogie boarding,m,10,
12,2018.0,10,M,Swimming,,USA,N,swimming,m,10,
13,2018.0,21,M,Fishing,Invalid incident,ENGLAND,N,fishing,m,21,invalid incident
14,2018.0,34,F,Feeding sharks,"Tawny nurse shark, 2m",AUSTRALIA,N,feeding sharks,f,34,Nurse shark
18,2018.0,30,M,Scuba diving,Tiger shark,COSTA RICA,N,scuba diving,m,30,Tiger shark
21,2018.0,60,M,Surfing,3 m shark,AUSTRALIA,N,surfing,m,60,3 m shark
23,2018.0,32,M,Fishing,Tiger shark,MALDIVES,N,fishing,m,32,Tiger shark
24,2018.0,33,M,Paddle-skiing,"White shark, 2.5 m",SOUTH AFRICA,N,paddle-skiing,m,33,White shark
25,2018.0,29,M,Body boarding,6' shark,USA,N,body boarding,m,29,6' shark
26,2018.0,54,M,Swimming,Juvenile bull shark,THAILAND,N,swimming,m,54,Bull shark
27,2018.0,34,M,Swimming,,BRAZIL,,swimming,m,34,
28,2018.0,41,M,Surfing,,AUSTRALIA,N,surfing,m,41,
29,2018.0,37,M,Surfing,,AUSTRALIA,N,surfing,m,37,
31,2018.0,56,M,Fishing,Shark involvement not confirmed,BRAZIL,N,fishing,m,56,Not a shark
33,2018.0,12,M,Swimming,Bull shark,BAHAMAS,N,swimming,m,12,Bull shark
34,2018.0,19,M,Surfing,White shark,SOUTH AFRICA,N,surfing,m,19,White shark
35,2018.0,25,M,Stand-Up Paddleboarding,"Tiger shark, 12'",USA,N,stand-up paddleboarding,m,25,Tiger shark
36,2018.0,10,M,Wading,Wobbegong shark,AUSTRALIA,N,wading,m,10,Wobbegong shark
37,2018.0,69,M,Swimming,3.5 m shark,AUSTRALIA,N,swimming,m,69,3.5 m shark
38,2018.0,18,M,Surfing,1.8 m shark,AUSTRALIA,N,surfing,m,18,1.8 m shark
39,2018.0,38,M,Scuba Diving,Blacktip shark,SOUTH AFRICA,N,scuba diving,m,38,Blacktip shark
40,2018.0,55,F,Swimming,"Juvenile white shark,  2.7 to 3.2 m",AUSTRALIA,N,swimming,f,55,White shark
41,2018.0,34,M,Kayak fishing for sharks,,AUSTRALIA,N,fishing,m,34,
42,2018.0,35,M,Walking,"Bull shark, 2 m",AUSTRALIA,N,walking,m,35,Bull shark
44,2018.0,46,F,Cleaning fish,"Injury believed caused by an eel, not a shark",BRAZIL,N,cleaning fish,f,46,"injury believed caused by an eel, not a shark"
45,2018.0,45,M,Snorkeling,Galapagos shark?,ECUADOR,N,snorkeling,m,45,galapagos shark?
46,2018.0,14,M,Spearfishing,2m shark,AUSTRALIA,N,spearfishing,m,14,2m shark
48,2018.0,40s,M,Spearfishing,"Bull shark, 3 m ",NEW CALEDONIA,N,spearfishing,m,40,Bull shark
50,2018.0,28,M,Free diving,"White shark, 3.5 m",AUSTRALIA,N,free diving,m,28,White shark
51,2018.0,20,M,Surfing,small shark,BRAZIL,N,surfing,m,20,small shark
53,2017.0,54,F,Surfing,Tiger shark,USA,N,surfing,f,54,Tiger shark
54,2017.0,35,F,Surfing,,USA,N,surfing,f,35,
55,2017.0,24,M,Fishing / Wading,Juvenile nurse shark,MALAYSIA,N,fishing,m,24,Nurse shark
56,2017.0,25,F,Snorkeling,Nurse shark. 5',BAHAMAS,N,snorkeling,f,25,Nurse shark
57,2017.0,26,M,Scuba Diving,"Tiger shark, female",COSTA RICA,N,scuba diving,m,26,Tiger shark
58,2017.0,49,F,Scuba diving,"Tiger shark, female",COSTA RICA,Y,scuba diving,f,49,Tiger shark
